"Nombre de pila";"Apellido";"Nacionalidad";"Idioma de preferencia";"Código del país";"Comentario";"Comentario del huésped";"Propósito del viaje";"Cantidad de huéspedes";"Cantidad de adultos";"Cantidad de niños";"Fecha de entrada";"Hora de llegada";"Fecha de check out";"Hora de check out";"Grupo de unidad";"Unidad";"Assigned unit group";"Código externo";"Canal";"Fuente";"Plan de tarifas";"Número de tarjeta de crédito";"Credit card state";"Credit card state info";"Importe bruto";"Identificación";"Código de la propiedad";"ID de reserva";"Estatus";"Creado en";"Llegada";"Salida";"Número de días";"Tipo de garantía ";"Saldo";"Moneda";"Empresa";"Comisión";"Precio antes de la comisión";"Código promocional";"Código corporativo";"Cambio de habitación";"Fecha de anulación";"Hora de anulación";"No-show date";"No-show time";"Segmento de mercado";"Guest company";"Vehicle registration number";"Vehicle registration country"
"Frederic";"Hofmann";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Double";"2.004";"Double";"";"Directo";"";"Include breakfast";"1111";"ACTIVE";"";659;"XZOIQEXF-1";"BER";"XZOIQEXF";"Confirmado";19/3/2026;21/3/2026;27/3/2026;6;"Tarjeta de crédito";-659;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Josy";"Voelkel";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"2.009";"Double";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";549;"APHGXMQP-1";"BER";"APHGXMQP";"Confirmado";19/3/2026;22/3/2026;28/3/2026;6;"Pago anticipado";-549;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Andrea";"Hache";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Single";"3.003";"Single";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";92;"RCHSKWWH-1";"BER";"RCHSKWWH";"Confirmado";19/3/2026;22/3/2026;24/3/2026;2;"Pago anticipado";-92;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Defne";"Kaul";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Single";"2.013";"Single";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";49;"UWPSMNRE-1";"BER";"UWPSMNRE";"Confirmado";19/3/2026;22/3/2026;23/3/2026;1;"Pago anticipado";-49;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lily";"Schreiber";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Single";"1.012";"Single";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";43;"ZSRUYDIL-1";"BER";"ZSRUYDIL";"Confirmado";19/3/2026;23/3/2026;24/3/2026;1;"Pago anticipado";-43;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Efe";"Gerbennow";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Double";"1.006";"Double";"";"Directo";"";"Include breakfast";"1111";"ACTIVE";"";436;"IEPUZNLJ-1";"BER";"IEPUZNLJ";"Confirmado";19/3/2026;23/3/2026;27/3/2026;4;"Tarjeta de crédito";-436;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Mick";"Breitenstein";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"1.016";"Double";"";"Directo";"";"Include breakfast";"1111";"ACTIVE";"";133;"ZAFAGIIK-1";"BER";"ZAFAGIIK";"Confirmado";19/3/2026;24/3/2026;25/3/2026;1;"Tarjeta de crédito";-133;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Janne";"Holdt";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"3.005";"Double";"";"Directo";"";"Include breakfast";"1111";"ACTIVE";"";118;"JLRSQRSK-1";"BER";"JLRSQRSK";"Confirmado";19/3/2026;25/3/2026;26/3/2026;1;"Tarjeta de crédito";-118;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Luna";"Verniest";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"2.006";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";210;"WIQNEEYI-1";"BER";"WIQNEEYI";"Confirmado";19/3/2026;25/3/2026;27/3/2026;2;"Tarjeta de crédito";-210;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Maximilian";"Merseburg";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"G.010";"Double";"";"Directo";"";"Include breakfast";"1111";"ACTIVE";"";112;"UBQGAJCP-1";"BER";"UBQGAJCP";"Confirmado";19/3/2026;26/3/2026;27/3/2026;1;"Tarjeta de crédito";-112;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lillian";"Friedek";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"3.020";"Double";"";"Directo";"";"Include breakfast";"1111";"ACTIVE";"";246;"JAVDRNWH-1";"BER";"JAVDRNWH";"Confirmado";19/3/2026;27/3/2026;29/3/2026;2;"Tarjeta de crédito";-246;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Darren";"Stepanov";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Double";"1.010";"Double";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";180;"USMFYMXF-1";"BER";"USMFYMXF";"Confirmado";19/3/2026;29/3/2026;31/3/2026;2;"Pago anticipado";-180;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tomke";"Beushausen";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Double";"4.020";"Double";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";177;"EPIJPXTL-1";"BER";"EPIJPXTL";"Confirmado";19/3/2026;1/4/2026;3/4/2026;2;"Pago anticipado";-177;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tjark";"Lichtenhagen";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"G.006";"Double";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";291;"EYMEJPZI-1";"BER";"EYMEJPZI";"Confirmado";19/3/2026;1/4/2026;4/4/2026;3;"Pago anticipado";-291;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Norman";"Buchholz";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Single";"1.003";"Single";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";76;"IYOIGZOU-1";"BER";"IYOIGZOU";"Confirmado";19/3/2026;2/4/2026;3/4/2026;1;"Tarjeta de crédito";-76;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Zeynep";"Stein";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"1.019";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";230;"DEBVVHTR-1";"BER";"DEBVVHTR";"Confirmado";19/3/2026;2/4/2026;4/4/2026;2;"Tarjeta de crédito";-230;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lisann";"Klaas";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Double";"4.005";"Double";"";"Directo";"";"Non Refundable";"1111";"ACTIVE";"";340;"IEDPIJHT-1";"BER";"IEDPIJHT";"Confirmado";19/3/2026;2/4/2026;6/4/2026;4;"Pago anticipado";-340;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Oskar";"Isak";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"1.005";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";230;"KCKVDRMF-1";"BER";"KCKVDRMF";"Confirmado";19/3/2026;2/4/2026;4/4/2026;2;"Tarjeta de crédito";-230;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Piet";"Gens";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"3.020";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";230;"XPUFBJPP-1";"BER";"XPUFBJPP";"Confirmado";19/3/2026;2/4/2026;4/4/2026;2;"Tarjeta de crédito";-230;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Mick";"Waibel";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"3.014";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";902;"DAZHNCXK-1";"BER";"DAZHNCXK";"Confirmado";19/3/2026;5/4/2026;13/4/2026;8;"Tarjeta de crédito";-902;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Elijah";"Lehner";"";"";"DE";"";"";"";2;2;0;"";"";"";"";"Double";"2.016";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";708;"BFDMACVV-1";"BER";"BFDMACVV";"Confirmado";19/3/2026;15/4/2026;21/4/2026;6;"Tarjeta de crédito";-708;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Peter";"Umbach";"";"";"DE";"";"";"";1;1;0;"";"";"";"";"Double";"1.020";"Double";"";"Directo";"";"Flexible";"1111";"ACTIVE";"";219;"CALTDGSG-1";"BER";"CALTDGSG";"Confirmado";19/3/2026;17/4/2026;19/4/2026;2;"Tarjeta de crédito";-219;"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
